name,start_date,end_date,agency,unit,acres,type,receptors,lat,lng,approval_type,elevation,airshed,class1,nonattainment,added_on
"North Beaver, Baker / Face",11/16/2018,11/22/2018,USFS,Fishlake NF Beaver,500,Broadcast,,38.283,-112.549,Historical,6500,"16 - Above 6,500 feet
",0,0,11/14/2018
Beaver Ranger District Slash Piles,11/16/2018,11/22/2018,USFS,Fishlake NF Beaver,100,Piles,,38.306,-112.366,Historical,6500,"16 - Above 6,500 feet
",0,0,11/14/2018
Sawyer Point,11/13/2018,11/19/2018,USFS,Dixie NF Cedar City,900,Understory,"Utah State Highway 89, Hatch, Utah",37.535,-112.526,Historical,7090,"16 - Above 6,500 feet
",0,0,11/8/2018
Henrie Knolls North,11/13/2018,11/19/2018,USFS,Dixie NF Powell,600,Understory,"Duck Creek Village, Mammoth Creek Subdivision",37.6,-112.657,Historical,7900,"16 - Above 6,500 feet
",0,0,11/8/2018
Duck Creek Fuels Aspen,11/13/2018,11/19/2018,USFS,Dixie NF Cedar City,600,Broadcast,"Highway 14, Duck Creek Village",37.497,-112.647,Historical,7300,"16 - Above 6,500 feet
",0,0,11/8/2018
Johnson Creek â€“ Nizhoni RX ,11/12/2018,11/18/2018,USFS,Manti-La Sal South Zone,200,Broadcast,"Monticello , Blanding ",37.778,-109.546,Historical,7200,"16 - Above 6,500 feet
",0,0,11/8/2018
Ahlstrom Hollow,11/7/2018,11/13/2018,USFS,Dixie NF Powell,300,Understory,"Bryce Canyon City, Bryce Canyon Airport, Tropic City, King Creek Campground",37.704,-112.251,Historical,7900,"16 - Above 6,500 feet
",1,0,11/6/2018
D1 Ponderosa ,11/6/2018,11/12/2018,USFS,Ashley NF East Zone,1600,Broadcast,Red Canyon Lodge,40.876,-109.517,Historical,8000,"16 - Above 6,500 feet
",0,0,11/5/2018
Beaver Ranger District Slash Piles,11/9/2018,11/15/2018,USFS,Fishlake NF Beaver,100,Piles,,38.299,-112.364,Historical,6500,"16 - Above 6,500 feet
",0,0,11/5/2018
"North Beaver, Mud Flat / Duncan Creek",11/16/2018,11/22/2018,USFS,Fishlake NF Beaver,500,Broadcast,,38.301,-112.444,Historical,7000,"16 - Above 6,500 feet
",0,0,11/5/2018
"North Beaver, Baker / Face",11/9/2018,11/15/2018,USFS,Fishlake NF Beaver,500,Broadcast,,38.283,-112.549,Historical,6500,"16 - Above 6,500 feet
",0,0,11/5/2018
Bear River Wetlands,11/6/2018,11/9/2018,FWS,Rocky/Basin Refuges,50,Broadcast,,41.502,-112.071,Historical,4200,1 - N. West Desert,0,1,11/5/2018
South Monroe,11/5/2018,11/11/2018,USFS,Fishlake NF Richfield,500,Stand Replace,"Greenwich, Wayne County, Koosharem , Marysvale, Sevier Valley, North Sevier Valley",38.452,-112.076,Historical,8000,"16 - Above 6,500 feet
",0,0,11/2/2018
Flat Top/Steve's Basin Rx,11/5/2018,11/11/2018,USFS,Fishlake NF Richfield,62,Partial Burn,"Interstate 70, Salina, Redmond, Aurora, Sigurd, Glenwood, Richfield",38.828,-111.821,Historical,6500,"16 - Above 6,500 feet
",0,0,11/2/2018
Sawyer Point,11/5/2018,11/11/2018,USFS,Dixie NF Cedar City,800,Understory,"Utah State Highway 89, Hatch, Utah",37.535,-112.526,Historical,7090,"16 - Above 6,500 feet
",0,0,11/2/2018
Henrie Knolls North,11/5/2018,11/11/2018,USFS,Dixie NF Powell,800,Understory,"Duck Creek Village, Mammoth Creek Subdivision",37.6,-112.657,Historical,7900,"16 - Above 6,500 feet
",0,0,11/2/2018
Duck Creek Fuels Aspen,11/5/2018,11/11/2018,USFS,Dixie NF Cedar City,600,Broadcast,"Highway 14, Duck Creek Village",37.497,-112.647,Historical,7300,"16 - Above 6,500 feet
",0,0,11/2/2018
Cooper Knoll Central,11/5/2018,11/11/2018,USFS,Dixie NF Cedar City,149,Broadcast,"Panguitch, Panguitch Lake, Highway 143",37.719,-112.599,Historical,7800,"16 - Above 6,500 feet
",0,0,11/2/2018
North Zone Piles,11/5/2018,11/11/2018,USFS,UWC NF North Zone,102,Piles,,41.901,-111.423,Historical,4000,"16 - Above 6,500 feet
",0,0,10/31/2018
Cold Water,11/2/2018,11/8/2018,State,Bear River Area,20,Piles,,41.589,-111.734,Historical,6000,"16 - Above 6,500 feet
",0,0,10/31/2018
East Zone Pile Burn,10/30/2018,11/5/2018,USFS,UWC NF North Zone,3,Piles,,40.859,-110.809,Historical,7,"16 - Above 6,500 feet
",0,0,10/29/2018
Johnson Creek â€“ Nizhoni RX ,11/5/2018,11/11/2018,USFS,Manti-La Sal South Zone,200,Broadcast,"Monticello , Blanding ",37.778,-109.546,Historical,7200,"16 - Above 6,500 feet
",0,0,10/29/2018
Weber Piles,10/31/2018,11/6/2018,State,Bear River Area,40,Piles,,41.319,-111.553,Historical,5500,"16 - Above 6,500 feet
",0,1,10/29/2018
Henrie Knolls North,10/29/2018,11/4/2018,USFS,Dixie NF Powell,900,Understory,"Duck Creek Village, Mammoth Creek Subdivision",37.6,-112.657,Historical,7900,"16 - Above 6,500 feet
",0,0,10/26/2018
Sawyer Point,10/29/2018,11/4/2018,USFS,Dixie NF Cedar City,1000,Understory,"Utah State Highway 89, Hatch, Utah",37.53,-112.508,Historical,7090,"16 - Above 6,500 feet
",0,0,10/26/2018
Duck Creek Fuels Aspen,10/29/2018,11/4/2018,USFS,Dixie NF Cedar City,800,Broadcast,"Highway 14, Duck Creek Village",37.461,-112.704,Historical,7300,"16 - Above 6,500 feet
",0,0,10/26/2018
Cooper Knoll Central,10/29/2018,11/4/2018,USFS,Dixie NF Cedar City,150,Broadcast,"Panguitch, Panguitch Lake, Highway 143",37.719,-112.599,Historical,7800,"16 - Above 6,500 feet
",0,0,10/26/2018
Flat Top/Steve's Basin Rx,10/1/2018,10/7/2018,USFS,Fishlake NF Richfield,60,Partial Burn,"Interstate 70, Salina, Redmond, Aurora, Sigurd, Glenwood, Richfield",38.828,-111.821,Historical,6500,"16 - Above 6,500 feet
",0,0,10/25/2018
East Zone Pile Burn,10/26/2018,10/26/2018,USFS,UWC NF North Zone,5,Piles,,40.96,-110.458,Historical,7,"16 - Above 6,500 feet
",0,0,10/25/2018
South Monroe,10/29/2018,11/4/2018,USFS,Fishlake NF Richfield,600,Stand Replace,"Greenwich, Wayne County, Koosharem , Marysvale, Sevier Valley, North Sevier Valley",38.446,-112.047,Historical,8000,"16 - Above 6,500 feet
",0,0,10/24/2018
Upper Provo,10/27/2018,11/2/2018,USFS,UWC NF North Zone,2,Broadcast,,40.624,-111.12,Historical,7000,"16 - Above 6,500 feet
",0,0,10/23/2018
Johnson Creek â€“ Nizhoni RX ,10/29/2018,11/4/2018,USFS,Manti-La Sal South Zone,200,Broadcast,"Monticello , Blanding ",37.778,-109.546,Historical,7200,"16 - Above 6,500 feet
",0,0,10/22/2018
Cooper Knoll Central,10/22/2018,10/28/2018,USFS,Dixie NF Cedar City,300,Broadcast,"Panguitch, Panguitch Lake, Highway 143",37.719,-112.599,Historical,7800,"16 - Above 6,500 feet
",0,0,10/19/2018
Ashley NF Piles,10/17/2018,10/23/2018,DAQ,Ashley NF East Zone,10,Piles,,40.673,-109.612,Historical,8900,"16 - Above 6,500 feet
",0,0,10/17/2018
Duck Creek Fuels Piles,10/18/2018,10/24/2018,USFS,Dixie NF Cedar City,700,Partial Burn,Duck Creek Village,37.497,-112.645,Historical,7300,"16 - Above 6,500 feet
",0,0,10/17/2018
Cedar City Piles,10/18/2018,10/24/2018,USFS,Dixie NF Cedar City,900,Piles,"Duck Creek Village, Panguitch Lake",37.524,-112.808,Historical,7300,"16 - Above 6,500 feet
",0,0,10/17/2018
Tamarisk Programatic,10/17/2018,10/23/2018,BLM,Canyon Country District,1,Piles,,38.558,-109.585,Historical,3924,12 - Upper Colo. R.,0,0,10/17/2018
Alpine School District Clear Creek Camp,10/17/2018,10/18/2018,State,Southeastern Area,0.25,Piles,,39.698,-111.159,Historical,7855,1 - N. West Desert,0,0,10/16/2018
East Zone Pile Burn,10/17/2018,10/23/2018,USFS,UWC NF North Zone,3,Piles,,40.831,-110.942,Historical,7,"16 - Above 6,500 feet
",0,0,10/16/2018
NZ ADMIN PILE BURN,10/17/2018,10/18/2018,USFS,Manti-La Sal North Zone,1,Piles,"Skyline Mine, Huntington",39.645,-111.291,Historical,6500,"16 - Above 6,500 feet
",0,0,10/15/2018
Johnson Creek â€“ Nizhoni RX ,10/22/2018,10/28/2018,USFS,Manti-La Sal South Zone,200,Broadcast,"Monticello , Blanding ",37.778,-109.546,Historical,7200,"16 - Above 6,500 feet
",0,0,10/15/2018
Johnson Creek â€“ Nizhoni RX ,10/15/2018,10/21/2018,USFS,Manti-La Sal South Zone,200,Broadcast,"Monticello , Blanding ",37.778,-109.546,Historical,7200,"16 - Above 6,500 feet
",0,0,10/15/2018
Johnson Creek,10/15/2018,10/21/2018,State,Southeastern Area,40,Piles,"Monticello, Blanding",37.727,-109.458,Historical,6500,1 - N. West Desert,0,0,10/15/2018
Bear River Wetlands,10/14/2018,10/17/2018,FWS,Rocky/Basin Refuges,55,Broadcast,,41.418,-112.227,Historical,4200,"4 - Cache/Bear R.
",0,1,10/11/2018
Alpine School District Clear Creek Camp,10/11/2018,10/11/2018,State,Southeastern Area,0.25,Piles,,39.698,-111.159,Historical,7855,"16 - Above 6,500 feet
",0,0,10/11/2018
Duck Creek Fuels Piles,10/11/2018,10/17/2018,USFS,Dixie NF Cedar City,800,Partial Burn,Duck Creek Village,37.497,-112.645,Historical,7300,"16 - Above 6,500 feet
",0,0,10/10/2018
Cedar City Piles,10/11/2018,10/17/2018,USFS,Dixie NF Cedar City,800,Piles,"Duck Creek Village, Panguitch Lake",37.551,-112.816,Historical,7300,"16 - Above 6,500 feet
",0,0,10/10/2018
D4 Piles,10/10/2018,10/16/2018,USFS,Dixie NF Cedar City,30,Piles,"Capitol Reef National Park, Box Death Hollow Wilderness, Bryce Canyon National Park",37.97,-111.851,Historical,8200,1 - N. West Desert,0,0,10/10/2018
Fremont River Slash Pile ,10/11/2018,10/17/2018,USFS,Fishlake NF Richfield,15,Piles,,38.648,-111.671,Historical,6500,"16 - Above 6,500 feet
",0,0,10/10/2018
South Monroe,10/10/2018,10/16/2018,USFS,Fishlake NF Richfield,300,Stand Replace,"Greenwich, Wayne County, Koosharem , Marysvale, Sevier Valley, North Sevier Valley",38.465,-112.07,Historical,8000,"16 - Above 6,500 feet
",0,0,10/9/2018
East Zone Pile Burn,10/10/2018,10/16/2018,USFS,UWC NF North Zone,3,Piles,,40.84,-110.936,Historical,7,"16 - Above 6,500 feet
",0,0,10/9/2018
Beaver Ranger District Slash Piles,10/9/2018,10/15/2018,USFS,Fishlake NF Beaver,50,Piles,,38.281,-112.358,Historical,6500,"16 - Above 6,500 feet
",0,0,10/5/2018
Johnson Creek â€“ Nizhoni RX ,10/8/2018,10/14/2018,USFS,Manti-La Sal South Zone,200,Broadcast,"Monticello , Blanding ",37.778,-109.546,Historical,7200,"16 - Above 6,500 feet
",0,0,10/1/2018
Johnson Creek â€“ Nizhoni RX ,10/1/2018,10/7/2018,USFS,Manti-La Sal South Zone,200,Broadcast,"Monticello , Blanding ",37.778,-109.546,Historical,7200,"16 - Above 6,500 feet
",0,0,9/25/2018
Bear River Wetlands,10/1/2018,10/7/2018,FWS,Rocky/Basin Refuges,2000,Broadcast,,41.465,-112.302,Historical,4200,"4 - Cache/Bear R.
",0,1,9/6/2018
Upper Provo,9/10/2018,9/15/2018,USFS,UWC NF North Zone,3000,Broadcast,,40.624,-111.12,Historical,7000,"16 - Above 6,500 feet
",0,0,9/2/2018
Trail Mtn Broadcast,6/4/2018,6/7/2018,USFS,Manti-La Sal North Zone,3000,Broadcast,"Rhino Mine, Price, Huntington, Castle Dale/Orangeville",39.321,-111.229,Historical,7500,"16 - Above 6,500 feet
",0,0,6/1/2018
parleys summit,5/30/2018,5/30/2018,State,Northeastern Area,3,Piles,,40.748,-111.595,Historical,6671,"16 - Above 6,500 feet
",0,0,5/25/2018
Argyle,5/24/2018,5/24/2018,State,Northeastern Area,3,Piles,Hwy 191,39.88,-110.733,Historical,7200,"16 - Above 6,500 feet
",0,0,5/23/2018
Cooper Knoll Central,5/23/2018,5/29/2018,USFS,Dixie NF Cedar City,300,Broadcast,"Panguitch, Panguitch Lake, Highway 143",37.719,-112.599,Historical,7800,"16 - Above 6,500 feet
",0,0,5/22/2018
Rich Piles,5/23/2018,5/29/2018,State,Bear River Area,1,Piles,,41.948,-111.391,Historical,5000,"4 - Cache/Bear R.
",0,0,5/21/2018
South Monroe,5/23/2018,5/29/2018,USFS,Fishlake NF Richfield,1000,Stand Replace,"Greenwich, Wayne County, Koosharem , Marysvale, Sevier Valley, North Sevier Valley",38.346,-112.055,Historical,8000,"16 - Above 6,500 feet
",0,0,5/18/2018
South Zone Pile Burn,5/17/2018,5/23/2018,USFS,UWC NF South Zone,6,Piles,Payson City,39.969,-111.705,Historical,4000,"10 - San Pitch R.
",0,0,5/15/2018
Ahlstrom Hollow,5/17/2018,5/23/2018,USFS,Dixie NF Powell,300,Understory,"Bryce Canyon City, Bryce Canyon Airport, Tropic City, King Creek Campground",37.688,-112.257,Historical,7900,"16 - Above 6,500 feet
",1,0,5/15/2018
Cooper Knoll Central,5/16/2018,5/22/2018,USFS,Dixie NF Cedar City,400,Broadcast,"Panguitch, Panguitch Lake, Highway 143",37.719,-112.599,Historical,7800,"16 - Above 6,500 feet
",0,0,5/15/2018
Pelican Pond,5/24/2018,5/29/2018,State,Bear River Area,15,Broadcast,,41.692,-111.917,Historical,4439,1 - N. West Desert,0,0,5/14/2018
Trail Mtn Broadcast,5/16/2018,5/17/2018,USFS,Manti-La Sal North Zone,200,Broadcast,"Rhino Mine, Price, Huntington, Castle Dale/Orangeville",39.293,-111.228,Historical,7500,"16 - Above 6,500 feet
",0,0,5/14/2018
South Zone Pile Burn,5/10/2018,5/16/2018,USFS,UWC NF South Zone,10,Piles,Payson City,39.969,-111.705,Historical,4000,"10 - San Pitch R.
",0,0,5/8/2018
Cooper Knoll Central,5/9/2018,5/15/2018,USFS,Dixie NF Cedar City,400,Broadcast,"Panguitch, Panguitch Lake, Highway 143",37.719,-112.599,Historical,7800,"16 - Above 6,500 feet
",0,0,5/8/2018
Grouse Creek Piles,5/10/2018,5/16/2018,State,Bear River Area,100,Piles,,41.83,-113.924,Historical,5200,1 - N. West Desert,0,1,5/8/2018
Trail Mtn Broadcast,5/10/2018,5/11/2018,USFS,Manti-La Sal North Zone,175,Broadcast,"Rhino Mine, Price, Huntington, Castle Dale/Orangeville",39.308,-111.243,Historical,7500,"16 - Above 6,500 feet
",0,0,5/7/2018
Ahlstrom Hollow,5/9/2018,5/15/2018,USFS,Dixie NF Powell,300,Understory,"Bryce Canyon City, Bryce Canyon Airport, Tropic City, King Creek Campground",37.688,-112.257,Historical,7900,"16 - Above 6,500 feet
",1,0,5/7/2018
"North Beaver, Mud Flat / Duncan Creek",5/10/2018,5/16/2018,USFS,Fishlake NF Beaver,1000,Broadcast,,38.284,-112.475,Historical,7000,"16 - Above 6,500 feet
",0,0,5/7/2018
South Monroe,5/8/2018,5/13/2018,USFS,Fishlake NF Richfield,700,Stand Replace,"Greenwich, Wayne County, Koosharem , Marysvale, Sevier Valley, North Sevier Valley",38.366,-112.059,Historical,8000,"16 - Above 6,500 feet
",0,0,5/6/2018
Little Valley,5/9/2018,5/15/2018,BLM,West Desert District,336,Broadcast,"Scipio, Levan, Gunnision, Yuba State Park, Fayette, Highway 50",39.131,-112.055,Historical,4058,"8 - S. Wasatch Front
",0,0,5/3/2018
Cooper Knoll Central,5/2/2018,5/8/2018,USFS,Dixie NF Cedar City,400,Broadcast,"Panguitch, Panguitch Lake, Highway 143",37.719,-112.599,Historical,7800,"16 - Above 6,500 feet
",0,0,5/1/2018
Ahlstrom Hollow,5/2/2018,5/8/2018,USFS,Dixie NF Powell,400,Understory,"Bryce Canyon City, Bryce Canyon Airport, Tropic City, King Creek Campground",37.688,-112.257,Historical,7900,"16 - Above 6,500 feet
",1,0,5/1/2018
South Zone Pile Burn,5/1/2018,5/7/2018,USFS,UWC NF South Zone,102,Piles,Payson City,39.969,-111.705,Historical,4000,"10 - San Pitch R.
",0,0,4/30/2018
Upper Provo,4/27/2018,5/3/2018,USFS,UWC NF North Zone,800,Broadcast,,40.624,-111.12,Historical,7000,"16 - Above 6,500 feet
",0,0,4/26/2018
"North Beaver, Mud Flat / Duncan Creek",5/1/2018,5/7/2018,USFS,Fishlake NF Beaver,500,Broadcast,,38.284,-112.475,Historical,7000,"16 - Above 6,500 feet
",0,0,4/26/2018
Public Shooting Grounds,4/27/2018,5/3/2018,State,Bear River Area,600,Broadcast,,41.556,-112.306,Historical,4200,"4 - Cache/Bear R.
",0,1,4/26/2018
Saddle Creek Phase II,4/28/2018,5/4/2018,USFS,UWC NF North Zone,726,Broadcast,"Randolph, Meadowville",41.745,-111.475,Historical,6700,"16 - Above 6,500 feet
",0,0,4/25/2018
SR112 Fence Line,4/27/2018,4/27/2018,State,Wasatch Front Area,50,Broadcast,"Erda, UT, Grantsville UT",40.585,-112.408,Historical,4304,1 - N. West Desert,0,1,4/25/2018
Sheep Creek RX,4/27/2018,5/2/2018,USFS,UWC NF South Zone,3,Broadcast,"Soldier Summit, Tie Fork Rest Area",39.97,-111.124,Historical,6880,"16 - Above 6,500 feet
",0,0,4/24/2018
D1 Ponderosa ,5/1/2018,5/7/2018,USFS,Ashley NF East Zone,1500,Broadcast,Red Canyon Lodge,40.884,-109.395,Historical,8000,"16 - Above 6,500 feet
",0,0,4/24/2018
Ahlstrom Hollow,4/24/2018,5/1/2018,USFS,Dixie NF Powell,500,Understory,"Bryce Canyon City, Bryce Canyon Airport, Tropic City, King Creek Campground",37.688,-112.257,Historical,7900,"16 - Above 6,500 feet
",1,0,4/23/2018
D4 Administrative Piles Rx,4/23/2018,4/27/2018,USFS,Fishlake NF Richfield,1,Piles,"Fishlake Basin, Wayne County, Greenwich, Koosharem, Burrville",38.778,-111.759,Historical,6500,"16 - Above 6,500 feet
",0,0,4/20/2018
South Monroe,4/23/2018,4/29/2018,USFS,Fishlake NF Richfield,500,Stand Replace,"Greenwich, Wayne County, Koosharem , Marysvale, Sevier Valley, North Sevier Valley",38.37,-112.059,Historical,8000,"16 - Above 6,500 feet
",0,0,4/20/2018
Tamarisk Programatic,4/20/2018,4/26/2018,BLM,Canyon Country District,5,Piles,,38.567,-109.577,Historical,3924,12 - Upper Colo. R.,0,0,4/19/2018
Cooper Knoll Central,4/23/2018,4/29/2018,USFS,Dixie NF Cedar City,400,Broadcast,"Panguitch, Panguitch Lake, Highway 143",37.719,-112.599,Historical,7800,"16 - Above 6,500 feet
",0,0,4/19/2018
D1 Ponderosa ,4/24/2018,4/30/2018,USFS,Ashley NF East Zone,1500,Broadcast,Red Canyon Lodge,40.876,-109.517,Historical,8000,"16 - Above 6,500 feet
",0,0,4/19/2018
Public Shooting Grounds,4/20/2018,4/26/2018,State,Bear River Area,600,Broadcast,,41.556,-112.306,Historical,4200,"4 - Cache/Bear R.
",0,1,4/18/2018
Grouse Creek Piles,4/22/2018,4/28/2018,State,Bear River Area,600,Piles,,41.681,-113.819,Historical,5200,1 - N. West Desert,0,1,4/18/2018
"North Beaver, Mud Flat / Duncan Creek",4/23/2018,4/29/2018,USFS,Fishlake NF Beaver,500,Broadcast,,38.284,-112.475,Historical,7000,"16 - Above 6,500 feet
",0,0,4/18/2018
"North Beaver, Baker / Face",4/23/2018,4/29/2018,USFS,Fishlake NF Beaver,1000,Broadcast,,38.283,-112.549,Historical,6500,"16 - Above 6,500 feet
",0,0,4/18/2018
parleys summit,4/19/2018,4/25/2018,State,Northeastern Area,8,Piles,,40.748,-111.595,Historical,6671,"16 - Above 6,500 feet
",0,0,4/17/2018
D1 Ponderosa ,4/17/2018,4/23/2018,USFS,Ashley NF East Zone,1000,Broadcast,Red Canyon Lodge,40.874,-109.473,Historical,8000,"16 - Above 6,500 feet
",0,0,4/15/2018
South Monroe,4/16/2018,4/22/2018,USFS,Fishlake NF Richfield,300,Stand Replace,"Greenwich, Wayne County, Koosharem , Marysvale, Sevier Valley, North Sevier Valley",38.455,-112.022,Historical,8000,"16 - Above 6,500 feet
",0,0,4/14/2018
East Zone Pile Burn,4/16/2018,4/20/2018,USFS,UWC NF North Zone,10,Piles,,40.591,-111.07,Historical,7,"16 - Above 6,500 feet
",0,0,4/13/2018
Beaver Ranger District Slash Piles,4/16/2018,4/22/2018,USFS,Fishlake NF Beaver,50,Piles,,38.235,-112.471,Historical,6500,"16 - Above 6,500 feet
",0,0,4/12/2018
"North Beaver, Mud Flat / Duncan Creek",4/16/2018,4/22/2018,USFS,Fishlake NF Beaver,1000,Broadcast,,38.284,-112.475,Historical,7000,"16 - Above 6,500 feet
",0,0,4/12/2018
"North Beaver, Baker / Face",4/16/2018,4/22/2018,USFS,Fishlake NF Beaver,1000,Broadcast,,38.283,-112.549,Historical,6500,"16 - Above 6,500 feet
",0,0,4/12/2018
Deseret East,4/16/2018,4/20/2018,State,Bear River Area,50,Broadcast,,41.303,-111.26,Historical,6500,1 - N. West Desert,0,0,4/12/2018
Grouse Creek Piles,4/17/2018,4/23/2018,State,Bear River Area,100,Piles,,41.681,-113.819,Historical,5200,1 - N. West Desert,0,1,4/11/2018
Duck Creek Fuels Piles,4/11/2018,4/17/2018,USFS,Dixie NF Cedar City,600,Partial Burn,Duck Creek Village,37.497,-112.645,Historical,7300,"16 - Above 6,500 feet
",0,0,4/10/2018
Cooper Knoll Central,4/11/2018,4/17/2018,USFS,Dixie NF Cedar City,400,Broadcast,"Panguitch, Panguitch Lake, Highway 143",37.719,-112.599,Historical,7800,"16 - Above 6,500 feet
",0,0,4/10/2018
UOA Piles,4/10/2018,4/12/2018,BIA,Uintah and Ouray Agency,2,Piles,"Randlett, Ft. Duchesne, Myton",40.286,-109.852,Historical,4750,"9 - Uinta Basin
",0,0,4/9/2018
South Monroe,4/10/2018,4/16/2018,USFS,Fishlake NF Richfield,500,Stand Replace,"Greenwich, Wayne County, Koosharem , Marysvale, Sevier Valley, North Sevier Valley",38.367,-112.079,Historical,8000,"16 - Above 6,500 feet
",0,0,4/9/2018
Stewart Lake,4/11/2018,4/11/2018,State,Northeastern Area,490,Broadcast,Jensen,40.352,-109.356,Historical,4728,"9 - Uinta Basin
",0,0,4/9/2018
Public Shooting Grounds,4/12/2018,4/18/2018,State,Bear River Area,600,Broadcast,,41.556,-112.306,Historical,4200,1 - N. West Desert,0,1,4/6/2018
Grouse Creek Piles,4/10/2018,4/16/2018,State,Bear River Area,600,Piles,,41.681,-113.819,Historical,5200,1 - N. West Desert,0,1,4/6/2018
"North Beaver, Baker / Face",4/9/2018,4/15/2018,USFS,Fishlake NF Beaver,1000,Broadcast,,38.283,-112.549,Historical,6500,"16 - Above 6,500 feet
",0,0,4/5/2018
Beaver Ranger District Slash Piles,4/10/2018,4/16/2018,USFS,Fishlake NF Beaver,50,Piles,,38.235,-112.471,Historical,6500,"16 - Above 6,500 feet
",0,0,4/5/2018
Ahlstrom Hollow,4/8/2018,4/14/2018,USFS,Dixie NF Powell,400,Understory,"Bryce Canyon City, Bryce Canyon Airport, Tropic City, King Creek Campground",37.688,-112.257,Historical,7900,"16 - Above 6,500 feet
",1,0,4/4/2018
Ashley NF Piles,4/5/2018,4/11/2018,USFS,Ashley NF East Zone,1,Piles,,40.876,-109.497,Historical,8900,"16 - Above 6,500 feet
",0,0,4/3/2018
South Zone Pile Burn,4/4/2018,4/10/2018,USFS,UWC NF South Zone,132,Piles,Payson City,39.969,-111.705,Historical,4000,"10 - San Pitch R.
",0,0,4/3/2018
Tamarisk Programatic,4/9/2018,4/13/2018,BLM,Canyon Country District,0.5,Piles,,39.084,-109.099,Historical,3924,12 - Upper Colo. R.,0,0,4/3/2018
Bear River Wetlands,4/3/2018,4/9/2018,FWS,Rocky/Basin Refuges,50,Broadcast,,41.496,-112.073,Historical,4200,1 - N. West Desert,0,1,4/2/2018
Johnson Creek â€“ Nizhoni RX ,5/2/2018,5/8/2018,USFS,Manti-La Sal South Zone,400,Broadcast,"Monticello , Blanding ",37.778,-109.546,Historical,7200,"16 - Above 6,500 feet
",0,0,4/2/2018
Johnson Creek â€“ Nizhoni RX ,4/25/2018,5/1/2018,USFS,Manti-La Sal South Zone,400,Broadcast,"Monticello , Blanding ",37.778,-109.546,Historical,7200,"16 - Above 6,500 feet
",0,0,4/2/2018
Johnson Creek â€“ Nizhoni RX ,4/18/2018,4/24/2018,USFS,Manti-La Sal South Zone,400,Broadcast,"Monticello , Blanding ",37.778,-109.546,Historical,7200,"16 - Above 6,500 feet
",0,0,4/2/2018
Johnson Creek â€“ Nizhoni RX ,4/11/2018,4/17/2018,USFS,Manti-La Sal South Zone,400,Broadcast,"Monticello , Blanding ",37.778,-109.546,Historical,7200,"16 - Above 6,500 feet
",0,0,4/2/2018
Johnson Creek â€“ Nizhoni RX ,4/4/2018,4/10/2018,USFS,Manti-La Sal South Zone,400,Broadcast,"Monticello , Blanding ",37.778,-109.546,Historical,7200,"16 - Above 6,500 feet
",0,0,4/2/2018
Horse Hollow,4/2/2018,4/8/2018,USFS,Fishlake NF Fillmore,100,Broadcast,"Richfield City, Holden City, Fillmore City",38.95,-112.271,Historical,5500,"2 - S. West Desert
",0,0,3/30/2018
South Monroe,4/2/2018,4/8/2018,USFS,Fishlake NF Richfield,500,Stand Replace,"Greenwich, Wayne County, Koosharem , Marysvale, Sevier Valley, North Sevier Valley",38.409,-112.057,Historical,8000,"16 - Above 6,500 feet
",0,0,3/29/2018
Duck Creek Fuels Piles,4/2/2018,4/8/2018,USFS,Dixie NF Cedar City,600,Partial Burn,Duck Creek Village,37.497,-112.645,Historical,7300,"16 - Above 6,500 feet
",0,0,3/29/2018
Cooper Knoll Central,4/2/2018,4/8/2018,USFS,Dixie NF Cedar City,400,Broadcast,"Panguitch, Panguitch Lake, Highway 143",37.719,-112.599,Historical,7800,"16 - Above 6,500 feet
",0,0,3/29/2018
Stewart Lake,3/30/2018,3/30/2018,State,Northeastern Area,490,Broadcast,Jensen,40.352,-109.356,Historical,4728,"9 - Uinta Basin
",0,0,3/28/2018
Beaver Ranger District Slash Piles,4/3/2018,4/9/2018,USFS,Fishlake NF Beaver,100,Piles,,38.312,-112.399,Historical,6500,"16 - Above 6,500 feet
",0,0,3/28/2018
Grouse Creek Piles,3/28/2018,4/4/2018,State,Bear River Area,400,Piles,,41.681,-113.819,Historical,5200,1 - N. West Desert,0,1,3/26/2018
UOA Piles,3/27/2018,3/30/2018,BIA,Uintah and Ouray Agency,5,Piles,"Randlett, Ft. Duchesne, Myton",40.269,-109.849,Historical,4750,"9 - Uinta Basin
",0,0,3/26/2018
Dikes and Piles,3/26/2018,4/2/2018,FWS,Rocky/Basin Refuges,5,Piles,"Tremonton, Corinne, Bigham City",41.458,-112.102,Historical,4200,"4 - Cache/Bear R.
",0,1,3/26/2018
Stewart Lake,3/24/2018,3/25/2018,State,Northeastern Area,476,Broadcast,Jensen,40.352,-109.356,Historical,4728,"9 - Uinta Basin
",0,0,3/22/2018
Duck Creek Fuels Piles,3/22/2018,3/28/2018,USFS,Dixie NF Cedar City,600,Partial Burn,Duck Creek Village,37.497,-112.645,Historical,7300,"16 - Above 6,500 feet
",0,0,3/21/2018
SEUG Tamarisk Piles,3/20/2018,3/26/2018,NPS,Utah NPS Units,10,Piles,"Moab, Castle Valley",38.732,-109.52,Historical,3900,1 - N. West Desert,1,0,3/20/2018
Green River District Programmatic Pile Plan,3/20/2018,3/26/2018,BLM,Green River District,10,Piles,,40.572,-109.659,Historical,4800,"16 - Above 6,500 feet
",0,0,3/19/2018
